YR,MO,DA,HHMM,Modified Julian Day,Seconds of the Day,Short,Long,timestamp
2019.0,1.0,1.0,0.0,1.0,0.0,1.08e-08,1.49e-08,1546300800.0
2019.0,1.0,1.0,12.0,1.0,0.0,1.09e-08,1.22e-08,1546301520.0
2019.0,1.0,1.0,24.0,1.0,0.0,1.25e-08,1.72e-08,1546302240.0
2019.0,1.0,1.0,36.0,1.0,0.0,1.51e-08,1.34e-08,1546302960.0
2019.0,1.0,1.0,48.0,1.0,0.0,1.57e-08,1.43e-08,1546303680.0
2019.0,1.0,1.0,100.0,1.0,0.0,1.6e-08,1.35e-08,1546304400.0
2019.0,1.0,1.0,112.0,1.0,0.0,1.67e-08,1.57e-08,1546305120.0
2019.0,1.0,1.0,124.0,1.0,0.0,1.74e-08,1.14e-08,1546305840.0
2019.0,1.0,1.0,136.0,1.0,0.0,1.79e-08,1.3e-08,1546306560.0
2019.0,1.0,1.0,148.0,1.0,0.0,1.83e-08,1.6e-08,1546307280.0
2019.0,1.0,1.0,200.0,1.0,0.0,1.88e-08,1.7e-08,1546308000.0
2019.0,1.0,1.0,212.0,1.0,0.0,1.87e-08,1.39e-08,1546308720.0
2019.0,1.0,1.0,224.0,1.0,0.0,1.47e-08,1.85e-08,1546309440.0
2019.0,1.0,1.0,236.0,1.0,0.0,1.49e-08,1.38e-08,1546310160.0
2019.0,1.0,1.0,248.0,1.0,0.0,2.01e-08,1.91e-08,1546310880.0
2019.0,1.0,1.0,300.0,1.0,0.0,2.04e-08,1.69e-08,1546311600.0
2019.0,1.0,1.0,312.0,1.0,0.0,1.89e-08,1.65e-08,1546312320.0
2019.0,1.0,1.0,324.0,1.0,0.0,1.99e-08,1.55e-08,1546313040.0
2019.0,1.0,1.0,336.0,1.0,0.0,2.7e-08,1.52e-08,1546313760.0
2019.0,1.0,1.0,348.0,1.0,0.0,2.43e-08,1.74e-08,1546314480.0
2019.0,1.0,1.0,400.0,1.0,0.0,2.54e-08,1.87e-08,1546315200.0
2019.0,1.0,1.0,412.0,1.0,0.0,2.35e-08,1.84e-08,1546315920.0
2019.0,1.0,1.0,424.0,1.0,0.0,2.71e-08,1.9e-08,1546316640.0
2019.0,1.0,1.0,436.0,1.0,0.0,2.66e-08,1.76e-08,1546317360.0
2019.0,1.0,1.0,448.0,1.0,0.0,2.29e-08,2.39e-08,1546318080.0
2019.0,1.0,1.0,500.0,1.0,0.0,1.89e-08,2.08e-08,1546318800.0
2019.0,1.0,1.0,512.0,1.0,0.0,1.71e-08,2.11e-08,1546319520.0
2019.0,1.0,1.0,524.0,1.0,0.0,1.67e-08,2.12e-08,1546320240.0
2019.0,1.0,1.0,536.0,1.0,0.0,1.46e-08,1.66e-08,1546320960.0
2019.0,1.0,1.0,548.0,1.0,0.0,1.5e-08,1.18e-08,1546321680.0
2019.0,1.0,1.0,600.0,1.0,0.0,1.43e-08,1.52e-08,1546322400.0
2019.0,1.0,1.0,612.0,1.0,0.0,1.42e-08,1.88e-08,1546323120.0
2019.0,1.0,1.0,624.0,1.0,0.0,1.42e-08,1.49e-08,1546323840.0
2019.0,1.0,1.0,636.0,1.0,0.0,1.4e-08,1.44e-08,1546324560.0
2019.0,1.0,1.0,648.0,1.0,0.0,1.54e-08,1.41e-08,1546325280.0
2019.0,1.0,1.0,700.0,1.0,0.0,1.28e-08,1.62e-08,1546326000.0
2019.0,1.0,1.0,712.0,1.0,0.0,1.32e-08,1.49e-08,1546326720.0
2019.0,1.0,1.0,724.0,1.0,0.0,1.19e-08,1.64e-08,1546327440.0
2019.0,1.0,1.0,736.0,1.0,0.0,1.16e-08,1.93e-08,1546328160.0
2019.0,1.0,1.0,748.0,1.0,0.0,1.2e-08,1.39e-08,1546328880.0
2019.0,1.0,1.0,800.0,1.0,0.0,1.3e-08,1.88e-08,1546329600.0
2019.0,1.0,1.0,812.0,1.0,0.0,1.22e-08,1.59e-08,1546330320.0
2019.0,1.0,1.0,824.0,1.0,0.0,1.09e-08,1.77e-08,1546331040.0
2019.0,1.0,1.0,836.0,1.0,0.0,1.28e-08,1.2e-08,1546331760.0
2019.0,1.0,1.0,848.0,1.0,0.0,1.11e-08,1.53e-08,1546332480.0
2019.0,1.0,1.0,900.0,1.0,0.0,1.22e-08,1.33e-08,1546333200.0
